Headword,Definition,"Part of Speech","Semantic Group","Frequency Rank"
"sententia -ae f.","görüş, yargı","İsim: 1. Çekim Grubu","Eğitim / Bilgi",586
"sentiō sentīre sēnsī sēnsum","duymak, hissetmek, algılamak, görmek","Fiil: 4. Çekim Grubu","Diğer Duyular",302
"sepulcrum -ī n.","mezarlık, gömüt, kabir","İsim: 2. Çekim Grubu","Yaşam ve Varlık",949
"sequor sequī secūtus sum","takip etmek","Fiil: Deponens [etken anlamlı edilgen yapılı]",Hareket,108
"sermō -ōnis m.","konuşma, söyleşi","İsim: 3. Çekim Grubu","Konuşma / Retorik",575
"serviō -īre","köle olmak, hizmet etmek (+ dat.)","Fiil: 4. Çekim Grubu",Hane,883
"servō -āre","korumak, kollamak","Fiil: 1. Çekim Grubu",Hane,289
"servus -ī m.",köle,"İsim: 2. Çekim Grubu",Hane,496
seu,"ya da; seu ... seu: ya ... ya da → sive",Bağlaç,"Bağlaç / Zarf",343
sī,eğer,Bağlaç,"Bağlaç / Zarf",16
sīc,"böylece, bu suretle; sīc ... ut: -ile aynı şekilde",Zarf,"Bağlaç / Zarf",79
sīcut,tıpkı,Zarf,"Bağlaç / Zarf",791
"sīdus -eris n.","yıldız, takımyıldız","İsim: 3. Çekim Grubu","Hava ve Ateş",359
"sīgnum -ī n.","işaret, belirti, nişan","İsim: 2. Çekim Grubu","Savaş ve Barış",261
"silva -ae f.","orman, ağaçlık","İsim: 1. Çekim Grubu","Hayvanlar / Bitkiler",234
"similis -e","benzer, koşut","Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",414
simul,"aynı zamanda",Zarf,Zaman,274
sine,"olmadan (+ abl.)",Edat,"Yönelimsiz Edatlar",104
"singulī -ae -a",münferit,"Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,507
"sinō sinere sīvī situm","izin vermek, haline bırakmak","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",717
"sinus -ūs m.","giysinin katı; kıvrım, koy, körfez","İsim: 4. Çekim Grubu","Toprak ve Su",478
sīve,"ya da; sīve ... sīve: ya ... ya da → seu",Bağlaç,"Bağlaç / Zarf",362
"socius -a -um","arkadaşça, müttefikçe; socius -ī m.: dost, yoldaş","Sıfat: 1. ve 2. Çekim Grubu","Sosyal Yaşam",372
"sōl sōlis m.",güneş,"İsim: 3. Çekim Grubu","Hava ve Ateş",320
"soleō -ēre -uī -itum","alışkın olmak","Fiil: 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",246
sōlum,"yalnızca, ancak",Zarf,Ölçüm,897
"solvō solvere solvī solūtum","çözmek, yelken açmak","Fiil: 2. Çekim Grubu",Seyahat,325
"sōlus -a -um","yalnız, tek başına","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,176
"somnus -ī m.","uyku, tembellik; (pl.) rüyalar","İsim: 2. Çekim Grubu","Yaşam ve Varlık",438
"sonō sonāre sonuī sonitum","ses çıkarmak, gürültü etmek","Fiil: 1. Çekim Grubu","Diğer Duyular",583
"soror -ōris f.","kız kardeş","İsim: 3. Çekim Grubu",Hane,497
"sors sortis f.","kura, kader, talih; kehanet","İsim: 3. Çekim Grubu",Din,639
"spargō spargere sparsī sparsum","perişan etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Toprak ve Su",532
"spatium -ī n.",alan,"İsim: 2. Çekim Grubu","Hava ve Ateş",426
"speciēs -ēī f.","görünüm, görünüş","İsim: 5. Çekim Grubu","Görü / Görüntü",599
"spectō -āre","bakmak, gözlemlemek","Fiil: 1. Çekim Grubu","Görü / Görüntü",473
"spērō -āre","umut etmek","Fiil: 1. Çekim Grubu",Duygular,648
"spēs speī f.",umut,"İsim: 5. Çekim Grubu",Duygular,232
"spīritus -ūs m.","soluk, yaşam, ruh","İsim: 4. Çekim Grubu","Yaşam ve Varlık",703
statim,derhal,Zarf,Zaman,798
"statuō -ere -uī -ūtum","yerleştirmek, tesis etmek","Fiil: 3. Çekim Grubu, -ō bitimli",Adalet,678
"stella -ae f.",yıldız,"İsim: 1. Çekim Grubu","Hava ve Ateş",934
"stō stāre stetī statum","ayakta durmak","Fiil: 1. Çekim Grubu","Yaşam ve Varlık",168
"studeō -ēre -uī","hevesli, gayretli olmak, kendini -e vermek (+ dat.)","Fiil: 2. Çekim Grubu",Duygular,989
"studium -ī n.","heveslilik, şevk","İsim: 2. Çekim Grubu",Duygular,450
sub,"altında, bitişik (+acc. veya abl.)",Edat,Yer,118
"subeō -īre -iī -itum","aşağı gitmek; katlanmak","Fiil: Düzensiz",Hareket,538
subitō,"birdenbire, ansızın",Zarf,Zaman,848
"sui sibi sē/sēsē","kendisi (adam, kadın, şey), kendileri",Zamir,"Zamir / Soru Zamiri",17
"sum esse fuī futūrum","olmak, var olmak; fut. infin. genelde = fore, impf. subj. genelde = forem yerine essem","Fiil: Düzensiz","Yaşam ve Varlık",2
"sūmō sūmere sūmpsī sūmptum","üzerine almak","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,454
super,"üzerine (zarf; edat +acc.)",Zarf,Yer,401
"superbus -a -um","kibirli, küstah, mağrur","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",656
"superī -ōrum m. pl.","yukarıdakiler; tanrılar","İsim: 2. Çekim Grubu",Din,714
"superō -āre","üstesinden gelmek, bastırmak, galip gelmek","Fiil: 1. Çekim Grubu","Savaş ve Barış",668
"supersum -esse -fuī","kalmak, baki kalmak; (-e) kalabalık etmek","Fiil: Düzensiz",Yer,623
"superus -a -um","yukarıda olan, üstteki","Sıfat: 1. ve 2. Çekim Grubu",Din,99
"supplicium -ī n.","ceza, infaz","İsim: 2. Çekim Grubu",Adalet,683
suprā,"üzerinde, tepesinde (zarf; edat. +acc.)",Edat,Yer,588
"surgō surgere surrēxī surrēctum",yükselmek,"Fiil: 3. Çekim Grubu, -ō bitimli","Toprak ve Su",570
"suscipiō -cipere -cēpī ceptum",üstlenmek,"Fiil: 3. Çekim Grubu, -iō bitimli","Getir - Götür Fiilleri",937
"sustineō sustinēre sustinuī sustentum","desteklemek, durdurmak","Fiil: 2. Çekim Grubu","Sosyal Yaşam",762
"suus -a -um","kendine ait (adam, kadın, şey)","Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",27
"taceō -ēre -uī -itum","sessiz kalmak; tacitus -a -um, sessiz","Fiil: 2. Çekim Grubu","Diğer Duyular",369
"tālis tāle","bu tür, bunun gibi","Sıfat: 3. Çekim Grubu",Ölçüm,203
tam,"böyle, o derece",Zarf,"Bağlaç / Zarf",96
tamen,"bununla birlikte, yine de",Bağlaç,"Bağlaç / Zarf",58
tamquam,"tıpkı, sanki",Zarf,"Bağlaç / Zarf",363
tandem,nihayet,Zarf,"Bağlaç / Zarf",427
"tangō tangere tetigī tāctum",dokunmak,"Fiil: 3. Çekim Grubu, -ō bitimli","Diğer Duyular",534
"tantum, tantummodo",yalnızca,Zarf,Ölçüm,216
"tantus -a -um","o kadar büyük, o kadar çok; (zamir) öyle bir nicelik, öyle fazla; tantī, o denli pahalı, o denli değerli","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,105
"tardus -a -um","yavaş, ağır, geç kalan","Sıfat: 1. ve 2. Çekim Grubu",Zaman,738
"tēctum -ī n.","çatı; ev, barınak","İsim: 2. Çekim Grubu","Ev / Hane",386
"tegō tegere tēxī tēctum","kapamak, örtmek","Fiil: 3. Çekim Grubu, -ō bitimli",Kandırma,376
"tellus tellūris f.",yeryüzü,"İsim: 3. Çekim Grubu","Toprak ve Su",337
"tēlum -ī n.","silah, kargı, mızrak","İsim: 2. Çekim Grubu","Savaş ve Barış",255
"tempestas -tātis f.","dönem, mevsim; kötü hava, fırtına","İsim: 3. Çekim Grubu","Zamanın Müddetleri",753
"templum -ī n.","kutsal mekan; tapınak","İsim: 2. Çekim Grubu",Din,485
"tempus -oris n.",zaman,"İsim: 3. Çekim Grubu",Zaman,89
"tendō tendere tetendī tentum","uzatmak, yaymak, yöneltmek (adımları ya da yolu)","Fiil: 3. Çekim Grubu, -ō bitimli",Seyahat,529
"tenebrae -brārum f. pl.","karanlık, gölgeler","İsim: 1. Çekim Grubu","Görü / Görüntü",775
"teneō -ēre -uī tentum","elde tutmak, korumak","Fiil: 2. Çekim Grubu","Diğer Duyular",106
"tener -era -erum",narin,"Sıfat: 1. ve 2. Çekim Grubu","Diğer Duyular",490
"temptō -āre","denemek, sınamak","Fiil: 1. Çekim Grubu","Yapma / Etme",430
"tergum -ī n.","arka, sırt; ā tergō: arkadan","İsim: 2. Çekim Grubu",Beden,474
"terra -ae f.",diyar,"İsim: 1. Çekim Grubu","Toprak ve Su",70
"terreō terrēre terruī territum","korkutmak, dehşete düşürmek","Fiil: 2. Çekim Grubu",Duygular,705
"tertius -a -um",üçüncü,"Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,682
"testis -is m.",tanık,"İsim: 3. Çekim Grubu",Adalet,741
"timeō -ēre -uī","korkmak, ürkmek","Fiil: 2. Çekim Grubu",Duygular,153
"timor -ōris m.",korku,"İsim: 3. Çekim Grubu",Duygular,536
"tollō tollere sustulī sublātum","kaldırmak, tahrip etmek","Fiil: Düzensiz",Şiddet,293
tot,"o kadar çok",Zarf,Ölçüm,259
"tōtus -a -um","tam, tamamı","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,78
"trādō -dere -didī -ditum","devretmek, feragat etmek","Fiil: 3. Çekim Grubu, -ō bitimli","İş / Para",297
"trahō trahere trāxī trāctum","çekmek, sürüklemek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",213
"trānseō -īre -iī -itum","karşıya geçmek","Fiil: Düzensiz",Seyahat,431
"trēs tria",üç,"Sıfat: Sayı",Ölçüm,533
"tribūnus -ī m.","tribun, belli roma diplomatlarının unvanı (mīlitum, plēbis, aerāriī gibi)","İsim: 2. Çekim Grubu",Kent,807
"trīstis -e","hüzünlü, somurtkan, gaddar","Sıfat: 3. Çekim Grubu",Duygular,275
"tū tuī tibi tē","sen (tekil)",Zamir,"Zamir / Soru Zamiri",9
"tum or tunc","o zaman",Zarf,Zaman,56
"turba -ae f.","kargaşa, isyan","İsim: 1. Çekim Grubu",Kent,323
"turbō -āre","rahatsızlık vermek, karışıklığa götürmek","Fiil: 1. Çekim Grubu","Konuşma / Retorik",868
"turpis -e","çirkin, iğrenç; utanç verici","Sıfat: 3. Çekim Grubu","Diğer Duyular",377
"tūtus -a -um","güvenli, korumalı","Sıfat: 1. ve 2. Çekim Grubu","Savaş ve Barış",365
"tuus -a -um",senin,"Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",44
"vacō vacāre","boş olmak, açık olmak, serbest olmak","Fiil: 1. Çekim Grubu",Ölçüm,724
"vacuus -a -um",boş,"Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,673
"vagus -a -um","dolaşan, gezen","Sıfat: 1. ve 2. Çekim Grubu",Seyahat,674
"valeō valēre valuī","sağlıklı olmak, güçlü olmak, etkin olmak, yenmek; valē: elveda!","Fiil: 2. Çekim Grubu","Sosyal Yaşam",539
"validus -a -um",güçlü,"Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",816
"vanus -a -um","boş; yanlış, asılsız","Sıfat: 1. ve 2. Çekim Grubu",Kandırma,856
"varius -a -um","değişken, çeşitli, muhtelif","Sıfat: 1. ve 2. Çekim Grubu","Diğer Duyular",631
"vātēs -is m.","şair, ozan","İsim: 3. Çekim Grubu","Yazı / Şiir",684
ubi,"nerede, ne zaman",Zarf,Yer,92
ve,"ya da (olumlayıcı enklitik)",Bağlaç,"Bağlaç / Zarf",307
"vehō vehere vēxī vectum","taşımak; vehor vehī vectus sum: seyahat etmek, sürmek","Fiil: 3. Çekim Grubu, -ō bitimli",Seyahat,632
vel,"ya da, ya da belki; belki; vel ... vel: ya ... ya da",Bağlaç,"Bağlaç / Zarf",141
velut,"bile, tıpkı",Zarf,"Bağlaç / Zarf",447
"veniō venīre vēnī ventum",gelmek,"Fiil: 4. Çekim Grubu",Hareket,63
"ventus -ī m.",rüzgar,"İsim: 2. Çekim Grubu","Hava ve Ateş",269
"verbum -ī n.",kelime,"İsim: 2. Çekim Grubu","Yazı / Şiir",188
vērē,sahiden,Zarf,"Konuşma / Retorik",983
"vereor verērī veritus sum","huşu içinde olmak, korkmak","Fiil: Deponens [etken anlamlı edilgen yapılı]",Duygular,884
vērō,"gerçekten, elbette, şüphesiz",Zarf,"Bağlaç / Zarf",280
"vertō vertere vertī versum",döndürmek,"Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,288
"vērus -a -um",hakiki,"Sıfat: 1. ve 2. Çekim Grubu","Konuşma / Retorik",410
"vester vestra vestrum",sizin,"Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",282
"vestīgium -ī n.","adım, ayak izi, iz","İsim: 2. Çekim Grubu",Seyahat,716
"vestis -is f.","giysi, örtü, elbise","İsim: 3. Çekim Grubu","Yaşam ve Varlık",413
"vetō -āre vetuī vetītum",yasaklamak,"Fiil: 1. Çekim Grubu","Teşvik Edici / Emredici Fiiller",665
"vetus veteris",yaşlı,"Sıfat: 3. Çekim Grubu",Zaman,295
"via -ae f.","yol, sokak","İsim: 1. Çekim Grubu",Seyahat,196
"vīcīnus -a -um","komşu, yakın","Sıfat: 1. ve 2. Çekim Grubu",Coğrafya,940
"victor -ōris m.",muzaffer,"İsim: 3. Çekim Grubu","Savaş ve Barış",340
"victōria -ae f.",zafer,"İsim: 1. Çekim Grubu","Savaş ve Barış",750
"videō vidēre vīdī vīsum",görmek,"Fiil: 2. Çekim Grubu","Görü / Görüntü",31
"vincō vincere vīcī victum",fethetmek,"Fiil: 3. Çekim Grubu, -ō bitimli","Savaş ve Barış",101
"vinculum -ī n.","zincir, bağ, bağlayan herhangi bir şey","İsim: 2. Çekim Grubu","Savaş ve Barış",594
"vīnum -ī n.",şarap,"İsim: 2. Çekim Grubu","Hayvanlar / Bitkiler",640
"vir virī m.","yetişkin erkek","İsim: 2. Çekim Grubu",İnsanlar,85
"virgō -inis f.","genç kız, bakire kız, kızçe","İsim: 3. Çekim Grubu",İnsanlar,418
"virtūs -ūtis f.","mertlik, yiğitlik, erdem","İsim: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",111
"vīs f.","güç ; (acc.) vim, (abl.) vī; (pl.) vīrēs, kudret","İsim: 3. Çekim Grubu","Savaş ve Barış",115
"vīta -ae f.",yaşam,"İsim: 1. Çekim Grubu","Yaşam ve Varlık",87
"vitium -ī n.","kusur, hata, suç","İsim: 2. Çekim Grubu",Adalet,326
"vītō -āre","kaçınmak, sakınmak","Fiil: 1. Çekim Grubu","Sosyal Yaşam",881
"vīvō vīvere vīxī vīctum",yaşamak,"Fiil: 3. Çekim Grubu, -ō bitimli","Yaşam ve Varlık",156
vix,"güç bela",Zarf,"Bağlaç / Zarf",352
"ūllus -a -um","hiçbir, herhangi bir","Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",178
"ultimus -a -um","en uzak, son, sonuncu, nihai","Sıfat: 1. ve 2. Çekim Grubu",Coğrafya,432
ultrā,"ötede, ötesinde (zarf; edat + acc.)",Edat,Yer,600
"umbra -ae f.","silüet, gölge","İsim: 1. Çekim Grubu","Görü / Görüntü",257
umquam,"hiçbir zaman",Zarf,Zaman,482
"unda -ae f.","dalga, hareketli su, su","İsim: 1. Çekim Grubu","Toprak ve Su",207
unde,nereden,Zarf,Yer,300
undique,"her bir taraftan, her yandan",Zarf,Yer,686
"ūnus -a -um",bir,"Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,53
"vocō -āre",çağırmak,"Fiil: 1. Çekim Grubu","Konuşma / Retorik",158
"volō velle voluī","istemek, niyetlenmek","Fiil: Düzensiz",Duygular,66
"volucer -cris -cre",uçan,"Sıfat: 3. Çekim Grubu","Hayvanlar / Bitkiler",977
"volucris -is f./m.",kuş,"İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",976
"voluntās -ātis f.","istek, arzu","İsim: 3. Çekim Grubu",Duygular,859
"voluptās -ātis f.","keyif, haz","İsim: 3. Çekim Grubu","Sosyal Yaşam",378
vōs,"siz (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs","Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",130
"vōtum -ī n.","adak, niyaz; ümit","İsim: 2. Çekim Grubu",Din,334
"vōx vōcis f.","ses, aksan","İsim: 3. Çekim Grubu","Konuşma / Retorik",169
"urbs urbis f.",şehir,"İsim: 3. Çekim Grubu",Kent,82
ūsque,"devamlı, -ye kadar",Zarf,Zaman,527
"ūsus -ūs m.","kullanma, deneyim","İsim: 4. Çekim Grubu","Eğitim / Bilgi",446
"ut, utī","gibi (+ ind.); mış gibi, -olsun diye (+ subj.); (soru) ne tarzda, hangi şekilde; (ünlem.) ne kadar da! nasıl da!",Zarf,"Bağlaç / Zarf",15
"uterque utraque utrumque","her ikisinden biri",Bağlaç,Ölçüm,243
"ūtilis -e",kullanışlı,"Sıfat: 3. Çekim Grubu","Yapma / Etme",850
"ūtor ūtī ūsus sum","kullanmak, tüketmek, çalıştırmak (+ dat.)","Fiil: Deponens [etken anlamlı edilgen yapılı]","Yapma / Etme",330
utrum,"olursa; utrum ... an: ister … ister",Bağlaç,"Bağlaç / Zarf",827
vulgō,"olağan şekilde",Zarf,Kent,991
"vulgus -ī n. and m.",avam,"İsim: 2. Çekim Grubu",Kent,675
"vulnus -eris n.",yara,"İsim: 3. Çekim Grubu",Şiddet,327
"vultus -ūs m.","bakış, ifade, çehre","İsim: 4. Çekim Grubu",Beden,209
"uxor uxōris f.",zevce,"İsim: 3. Çekim Grubu",Hane,552
